x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.5,49,1.460284801066414e-17,1.692244494440728e-16,3.425238293334658e-02,3.969322038968144e-01,8.952681789307710e-17,3.969322038968144e-01
0.5,50,5.368494819697756e-18,1.728477306531571e-16,3.115796210807393e-02,1.003183056523997e+00,1.733061862821705e-16,1.003183056523997e+00
0.9,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.354797312626351e-17,1.354797312626351e-17
0.9,1,0.000000000000000e+00,0.000000000000000e+00,2.520403875403430e-01,2.800448750448255e-01,2.792224150460356e-17,2.800448750448255e-01
0.9,2,1.994931997373328e-17,2.790114681641018e-17,3.402545231794630e-01,4.758804519992488e-01,1.131055169348739e-16,4.758804519992488e-01
0.9,3,4.046784608802145e-17,8.564623510692369e-17,3.423548597422992e-01,7.245605497191515e-01,1.302789001689258e-16,7.245605497191515e-01
0.9,4,5.285485590866834e-17,2.541862622599017e-16,2.840180117095240e-01,1.365881631305194e+00,2.287323513825353e-16,1.365881631305194e+00
0.9,5,1.404685558408642e-16,3.414299658879218e-15,1.862252911755895e-01,4.526485976376269e+00,3.444390224675375e-15,4.526485976376269e+00
0.9,6,1.565587937069068e-16,6.491789439488768e-16,7.059005401511946e-02,2.927052236019353e-01,6.269888646968553e-16,2.927052236019353e-01
0.9,7,1.801130859041544e-16,4.896706014126166e-16,4.163544501094844e-02,1.131936266387783e-01,6.497929424143133e-16,1.131936266387781e-01
0.9,8,1.724423555338195e-16,4.209135683069523e-16,1.320261107192050e-01,3.222617853976752e-01,3.926039702404544e-16,3.222617853976752e-01
0.9,9,1.935842978972868e-16,5.238939224841526e-16,1.874351037684721e-01,5.072524620596580e-01,5.111893401460769e-16,5.072524620596581e-01
0.9,10,2.402049913141635e-16,9.128215520797235e-16,2.016905277968028e-01,7.664597626219284e-01,1.047632878643854e-15,7.664597626219284e-01
0.9,11,2.853620117981848e-16,2.455500227749400e-15,1.761454488795319e-01,1.515706968545637e+00,2.459273853462821e-15,1.515706968545637e+00
0.9,12,2.383245781712590e-16,5.848640439989550e-15,1.189679155034567e-01,2.919550165634941e+00,5.865019677540819e-15,2.919550165634941e+00
0.9,13,1.478851763270228e-16,8.317477078271839e-16,4.331020863641482e-02,2.435887602364963e-01,1.001328051011066e-15,2.435887602364962e-01
0.9,14,3.041187093821840e-17,1.123150826481497e-16,3.529605940571834e-02,1.303530400139036e-01,5.798742573431512e-18,1.303530400139035e-01
0.9,15,9.603320742790356e-17,3.146591769978732e-16,1.018380047599371e-01,3.336789806684772e-01,3.492212178257892e-16,3.336789806684773e-01
0.9,16,2.640032290002203e-16,9.484963022803632e-16,1.444899651072793e-01,5.191156113501883e-01,9.726069107180929e-16,5.191156113501882e-01
0.9,17,3.516609746456734e-16,1.766880084987605e-15,1.565849345604237e-01,7.867429781273397e-01,1.752089810306278e-15,7.867429781273397e-01
0.9,18,3.759742083636608e-16,4.401173391790869e-15,1.375608906571999e-01,1.610294850666779e+00,4.476716231646312e-15,1.610294850666779e+00
0.9,19,3.391824852667230e-16,8.734168354369474e-15,9.274993877879639e-02,2.388370907520287e+00,8.803098475960115e-15,2.388370907520287e+00
0.9,20,2.452194263619090e-16,1.642370401425099e-15,3.209329643244771e-02,2.149465926366811e-01,1.737899866403072e-15,2.149465926366811e-01
0.9,21,1.262282379316249e-16,5.600904655026208e-16,3.194076843898132e-02,1.417251809630025e-01,5.709086499243055e-16,1.417251809630024e-01
0.9,22,2.734899980094685e-17,1.077042406861927e-16,8.682122562136263e-02,3.419143021336282e-01,2.036891053287387e-16,3.419143021336282e-01
0.9,23,1.687018580387445e-16,7.285459483624376e-16,1.223288144351130e-01,5.282820424195567e-01,7.612379434211030e-16,5.282820424195567e-01
0.9,24,3.182133376244956e-16,1.931171715942870e-15,1.324008608880808e-01,8.035137672804625e-01,1.982357132762606e-15,8.035137672804625e-01
0.9,25,3.886458212545851e-16,5.684454154594657e-15,1.161194567488660e-01,1.698399139387578e+00,5.683516407275600e-15,1.698399139387578e+00
